order_id,product_name,quantity,price_per_unit,Net_price
1001,Sneakers,2,58.529998779296875,117.05999755859375
1002,T-Shirt,3,83.76000213623047,251.2800064086914
1003,Sunglasses,2,78.8499984741211,157.6999969482422
1004,Sunglasses,5,46.4900016784668,232.45000839233398
1005,Photo Frame,2,78.61000061035156,157.22000122070312
1006,Knife Set,4,53.5099983215332,214.0399932861328
1007,Wall Clock,5,12.710000038146973,63.55000019073486
1008,Photo Frame,1,46.599998474121094,46.599998474121094
1009,Toaster,4,35.869998931884766,143.47999572753906
1010,Microwave,1,30.950000762939453,30.950000762939453
1011,USB-C Cable,4,18.790000915527344,75.16000366210938
1012,Sunglasses,5,69.13999938964844,345.6999969482422
1013,Sneakers,5,90.63999938964844,453.1999969482422
1014,Data Engineering 101,1,93.91000366210938,93.91000366210938
1015,Sunglasses,1,61.0,61.0
1016,Smartwatch,2,54.77000045776367,109.54000091552734
1017,Big Data Explained,5,13.420000076293945,67.10000038146973
1018,Wireless Mouse,2,18.719999313354492,37.439998626708984
1019,Blender,3,35.68000030517578,107.04000091552734
1020,Blender,4,56.08000183105469,224.32000732421875
